Tahun;Real Estate;Keterangan
2021;2.76;Distribusi
2020;2.94;Distribusi
2019;2.78;Distribusi
2018;2.74;Distribusi
2017;2.81;Distribusi
2016;2.83;Distribusi
2015;2.84;Distribusi
2014;2.79;Distribusi
2013;2.77;Distribusi
2012;2.76;Distribusi
2011;2.79;Distribusi
2021;2.78;Laju Pertumbuhan
2020;2.32;Laju Pertumbuhan
2019;5.76;Laju Pertumbuhan
2018;3.48;Laju Pertumbuhan
2017;3.60;Laju Pertumbuhan
2016;4.69;Laju Pertumbuhan
2015;4.11;Laju Pertumbuhan
2014;5.00;Laju Pertumbuhan
2013;6.54;Laju Pertumbuhan
2012;7.41;Laju Pertumbuhan
2011;7.68;Laju Pertumbuhan
